Code	Error	Description
5555E	EAS_ERR_GENERIC	{0}
5555D	EAS_MSG_DETAIL	{0}
5555W	EAS_WRN_GENERIC	{0}
5555I	EAS_INF_GENERIC	{0}
0001E	EAS_ERR_UNHANDLED_EXCEPTION 	Unhandled exception.
0002E	EAS_ERR_INVALID_XML 	Invalid XML
0003E	EAS_ERR_NO_INPUT_TRANSPORT 	No Input Transport Specified
0004E	EAS_ERR_EXCEEDED_MAX_ERRORS 	Exceeded the Maximum Number of Errors Allowed
0005E	EAS_ERR_EXCEEDED_MAX_RETRIES 	Exceeded the Maximum Number of Retries Allowed
0006E	EAS_ERR_BUS_CLOSED 	The bus has been shut down
0007E	EAS_ERR_EMPTY_XML_MESSAGE 	Empty XML Message
0008E	EAS_ERR_UNEXPECTED_EOF 	Reached end of file unexpectedly
0009E	EAS_ERR_INVALID_MESSAGE_RECEIVED 	Invalid message received from the cmebus
0010E	EAS_ERR_MALFORMED_URI 	Malformed URI
0011E	EAS_ERR_MULTIPLE_RESPONSES_SET_FOR_ONE_MESSAGE 	Called twice for one message
0012E	EAS_ERR_MISSING_UMF_PROC_NAME 	UMF_PROC name not specified in the UMF message
0013E	EAS_ERR_INVALID_DATABASE_TYPE 	Invalid Database Type
0014E	EAS_ERR_INVALID_DATASTORE_CONFIGURATION_TYPE 	Invalid Datastore Configuration Type
0015E	EAS_ERR_ICU_TRANSLIT_INIT	Could not create ICU Transliterator due to ICU error: {0}
0017E	EAS_ERR_SEQUENCE_DB_FAILURE	No Sequence Controller configured
0019E	EAS_ERR_NO_CONFIGURATION_FOUND	Configuration not found
0020E	EAS_ERR_CONFIG_CANNOT_BE_NULL_DATABASE 	Configuration cannot be loaded from database connection
0021E	EAS_ERR_CONFIG_CANNOT_BE_NULL_CONFIG_FILE 	Configuration cannot be loaded from config file
0022E	EAS_ERR_INVALID_DOCTYPE 	Invalid DocType {0}
0023E	EAS_ERR_CONFLICTING_DATA_SOURCE_VALUES 	Conflicting DATA_SOURCE values '{0}' and '{1}'
0024E	EAS_ERR_CONFLICTING_RECORD_ID_VALUES	Conflicting RECORD_ID values '{0}' and '{1}'
0025E	EAS_ERR_CONFLICTING_LOAD_ID_VALUES	Conflicting LOAD_ID values '{0}' and '{1}'
0026E	EAS_ERR_RESERVED_WORD_USED_IN_DOCUMENT	Inbound data contains a reserved keyword '{0}'
0027E	EAS_ERR_UNKNOWN_DSRC_CODE_VALUE	Unknown DATA_SOURCE value '{0}'
0028E	EAS_ERR_INVALID_JSON_CONFIG_DOCUMENT	Invalid JSON config document
0029E	EAS_ERR_INVALID_HANDLE	Invalid Handle
0030E	EAS_ERR_INVALID_MATCH_LEVEL	Invalid match level '{0}'
0031E	EAS_ERR_UNKNOWN_LENS_VALUE	Unknown lens value '{0}'
0032E	EAS_ERR_UNKNOWN_ENTITY_TYPE_VALUE	Unknown entity type value '{0}'
0033E	EAS_ERR_UNKNOWN_DSRC_RECORD_ID	Unknown record: dsrc[{0}], record[{1}]
0034E	EAS_ERR_AMBIGUOUS_ENTITY_FTYPE_MISSING 	AMBIGUOUS_ENTITY Feature Type is not configured
0035E	EAS_ERR_AMBIGUOUS_TIER_FELEM_MISSING 	AMBIGUOUS_TIER Feature Element is not configured
0036E	EAS_ERR_AMBIGUOUS_FTYPE_ID_FELEM_MISSING 	AMBIGUOUS_FTYPE_ID Feature Element is not configured
0037E	EAS_ERR_UNKNOWN_RESOLVED_ENTITY_VALUE	Unknown resolved entity value '{0}'
0038E	EAS_ERR_RECORD_HAS_NO_RESOLVED_ENTITY	Data source record has no resolved entity: dsrc[{0}], recordID[{1}]
0039E	EAS_ERR_NO_OBSERVED_ENTITY_FOR_DSRC_ENTITY_KEY	No observed entity for entity key: dsrc[{0}], record_id[{1}], key[{2}]
0040E	EAS_ERR_CONFIG_COMPATIBILITY_MISMATCH	The engine configuration compatibility version [{0}] does not match the version of the provided config[{1}].
0041E	EAS_ERR_DOCUMENT_PREPROCESSING_FAILED 	Document preprocessing failed
0042E	EAS_ERR_DOCUMENT_LOAD_PROCESSING_FAILED 	Document load processing failed
0043E	EAS_ERR_DOCUMENT_ER_PROCESSING_FAILED 	Document ER processing failed
0044E	EAS_ERR_CHECK_ENTITY_PROCESSING_FAILED 	Check entity processing failed
0045E	EAS_ERR_UMF_PROC_PROCESSING_FAILED 	UMF procedure processing failed
0046E	EAS_ERR_DOCUMENT_HASHING_PROCESSING_FAILED 	Document hashing-processing failed
0047E	EAS_ERR_SESSION_IS_INVALID 	Session is invalid
0048E	EAS_ERR_G2_NOT_INITIALIZED 	G2 is not initialized
0049E	EAS_ERR_G2AUDIT_NOT_INITIALIZED 	G2Audit is not initialized
0050E	EAS_ERR_G2HASHER_NOT_INITIALIZED 	G2Hasher is not initialized
0051E	EAS_ERR_BOTH_RECORD_ID_AND_ENT_SRC_KEY_SPECIFIED 	Cannot use both Record ID and Entity Source Key in record
0052E	EAS_ERR_UNKNOWN_RELATIONSHIP_ID_VALUE	Unknown relationship ID value '{0}'
0053E	EAS_ERR_G2DIAGNOSTIC_NOT_INITIALIZED 	G2Diagnostic is not initialized
0054E	EAS_ERR_G2_DATA_REPOSITORY_WAS_PURGED 	Data repository was purged
0055E	EAS_ERR_NO_RESOLVED_ENTITY_FOR_DSRC_ENTITY_KEY	No resolved entity for entity key: dsrc[{0}], record_id[{1}], key[{2}]
0056E	EAS_ERR_NO_RECORDS_EXIST_FOR_RESOLVED_ENTITY	No data source records exist for entity ID: entityID[{0}], lensCode[{1}]
0060E	EAS_ERR_CONFIG_DATABASE_MISTMATCH	The engine configuration does not match the records loaded into the repository:  errors[{0}].
999E	EAS_ERR_LICENSE_HAS_EXPIRED 	License has expired
